outlet_name,area,kategori_tempat,sub_kategori_tempat,tipe_tempat
ARYADUTA Lippo Village,Jakarta,Permanent,,Permanent
ASHTA Disctrict 8,Jakarta,Permanent,,Permanent
Aeon Deltamas - Entrance,Bekasi,Permanent,,Permanent
Aeon Deltamas - LED,Bekasi,Permanent,,Permanent
Aloha - PIK 2,Jakarta,Permanent,,Permanent
Ancol LB,Jakarta,Permanent,,Permanent
Ancol LB 2,Jakarta,Permanent,,Permanent
Ancol Point,Jakarta,Permanent,,Permanent
Ayodya Resort,Bali,Permanent,,Permanent
Batamu Space,Bogor,Permanent,,Permanent
Batavia BDuck,,Tidak Terkategorisasi,Tidak Terkategorisasi,Tidak Terkategorisasi
Batavia PIK,Jakarta,Permanent,,Permanent
Batavia PIK - Jembatan Kota Intan,Jakarta,Franchise,,Franchise
Beachwalk Mall Kuta - Gate,Bali,Permanent,,Permanent
Beachwalk Mall Kuta - Rooftop,Bali,Permanent,,Permanent
Beachwalk Vacation,Bali,Permanent,,Permanent
Buy Local Creative Zone by JXB,Jakarta,Permanent,,Permanent
CPI (Sunset Quay A),Makassar,Franchise,,Franchise
CPI (Sunset Quay B),Makassar,Permanent,,Permanent
Central Park 1,Jakarta,Permanent,,Permanent
Chariot Bar & Lounge,Bali,Permanent,,Permanent
Citra Niaga Samarinda,Samarinda,Franchise,,Franchise
City Plaza Jatinegara,Jakarta,Permanent,,Permanent
Colosseum Kintamani,Bali,Permanent,,Permanent
Cove Pantai Indah Kapuk,Jakarta,Permanent,,Permanent
Digimap sunset road Bali,,Tidak Terkategorisasi,Tidak Terkategorisasi,Tidak Terkategorisasi
Discovery Mall Beach Area,Bali,Permanent,,Permanent
Discovery Mall Icon,Bali,Permanent,,Permanent
Discovery Mall Vacation,Bali,Permanent,,Permanent
Entertainment District PIK 2,Jakarta,Permanent,,Permanent
Flavor Bliss & Broadway Alam Sutera,Jakarta,Permanent,,Permanent
Flavor Bliss Vacation,Jakarta,Permanent,,Permanent
Florawisata D'Castello,Bandung,Permanent,,Permanent
Fort Williem I - Benteng Ambarawa,Semarang,Franchise,,Franchise
Freelance,,Tidak Terkategorisasi,Tidak Terkategorisasi,Tidak Terkategorisasi
Freelance Difotoin Vacation Hotel,Jakarta,Permanent,,Permanent
GWK Area Fieldtrip,Jakarta,Permanent,,Permanent
GWK Area Garuda,-,Permanent,,Permanent
GWK Lotus,Bali,Permanent,,Permanent
GWK Utama,-,Permanent,,Permanent
GWK Vacation,Bali,Permanent,,Permanent
Grand Galaxy Park,Jakarta,Permanent,,Permanent
Grand Puncak Sari,Bali,Permanent,,Permanent
Grand Puncak Sari - Tegukopi,Bali,Permanent,,Permanent
Grand Waterfront - Sedayu City,Jakarta,Permanent,,Permanent
HeHa Sky View - Drop Off,Jogja,Permanent,,Permanent
HeHa Sky View - Love Lock,Jogja,Permanent,,Permanent
HeHa Sky View - Sky Lolli,Jogja,Permanent,,Permanent
HeHa Sky View - Skyglass,,Tidak Terkategorisasi,Tidak Terkategorisasi,Tidak Terkategorisasi
HeHa Waterfall,Bogor,Permanent,,Permanent
Hoolu Buerger,,Tidak Terkategorisasi,Tidak Terkategorisasi,Tidak Terkategorisasi
Hoolu Burger,Samarinda,Permanent,,Permanent
I Gusti Ngurah Rai Airport,Bali,Permanent,,Permanent
ITDC Nusa Dua Vacation,Bali,Permanent,,Permanent
Ibarbo Park,Jogja,Permanent,,Permanent
JGC,Jakarta,Permanent,,Permanent
Jakarta International Stadium (JIS),Jakarta,Permanent,,Permanent
Jakarta Vacation,Jakarta,Permanent,,Permanent
JakartaLoc,Samarinda,Permanent,,Permanent
Jogja Pasaraya Malioboro,Jogja,Permanent,,Permanent
K3MART SCBD,Jakarta,Permanent,,Permanent
KKuwa Koffie & Space,Bogor,Permanent,,Permanent
Kayumanis Seaside Sanur,Bali,Permanent,,Permanent
Kebun Raya Bedugul Vacation,Bali,Permanent,,Permanent
Kembali Ke Alam Kampung Rimba,Bogor,Permanent,,Permanent
Kembali Ke Alam Puncak,Bogor,Permanent,,Permanent
Kemuning Sky Hills,Karanganyar,Franchise,,Franchise
Kian Social House,Jogja,Franchise,,Franchise
Kopi Daong - Hutan Pinus,Bogor,Permanent,,Permanent
Kopi Ngegasss,Samarinda,Permanent,,Permanent
Kopi Tubing Pamijahan,Bogor,Permanent,,Permanent
Kopi Tubing Sentul,Bogor,Permanent,,Permanent
Kuwa Koffie x Mulih Ka Uwa,Bogor,Permanent,,Permanent
Lawu Kala Senja,Karanganyar,Franchise,,Franchise
Lippo Mall Puri,Jakarta,Permanent,,Permanent
Living World Denpasar,Bali,Permanent,,Permanent
Malang Skyland,Malang,Franchise,,Franchise
Malaya Kopitiam,Samarinda,Permanent,,Permanent
Mall Bali Icon,Bali,Permanent,,Permanent
Mirror Club,Bali,Permanent,,Permanent
Museum Mandiri Jakarta,Jakarta,Permanent,,Permanent
Myloc Coffe & Cafe,Bandung,Permanent,,Permanent
Neo Soho Skywalk,Jakarta,Permanent,,Permanent
Nicole's River Park,Jakarta,Permanent,,Permanent
Nimo Eye,Bandung,Permanent,,Permanent
Obelix Sea View,Jogja,Franchise,,Franchise
Obelix Village,Jogja,Franchise,,Franchise
Oculus Cafe Kintamani,Bali,Permanent,,Permanent
Omman Kopi Temanggung - Tugu Jogja,Jogja,Franchise,,Franchise
Omman Tugu Jogja,Jogja,Franchise,,Franchise
Pantai Akkarena,Makassar,Permanent,,Permanent
Pantai Kuta Vacation,Bali,Permanent,,Permanent
Pantai Sanur Sans Juro,Bali,Permanent,,Permanent
Pantjoran Pantai Indah Kapuk,Jakarta,Permanent,,Permanent
Pantjoran Pantai Indah Kapuk 2,Jakarta,Permanent,,Permanent
Perpustakaan Universitas Indonesia,Depok,Permanent,,Permanent
SAJA Sports Club,Samarinda,Franchise,,Franchise
Sacra | Stuja Ubud,Bali,Permanent,,Permanent
Sarinah Dewata,Jakarta,Permanent,,Permanent
Sarinah Kolam,Jakarta,Permanent,,Permanent
Secret Garden Village,Jakarta,Permanent,,Permanent
Semarang Zoo,Semarang,Permanent,,Permanent
Senayan Park,Jakarta,Permanent,,Permanent
Senayan Park 2,Jakarta,Permanent,,Permanent
Sender PKU Jogja,Jogja,Franchise,,Franchise
Sky Dining,Jakarta,Permanent,,Permanent
Skywalk Central Park 2,Jakarta,Permanent,,Permanent
Stuja Di Pantai,Bali,Permanent,,Permanent
Sunset Avenue Citra 8,Jakarta,Permanent,,Permanent
TMII (Istana Anak),Jakarta,Franchise,,Franchise
TMII (Menara Pandang Saujana),Jakarta,Permanent,,Permanent
TMII (Museum Indonesia),Jakarta,Franchise,,Franchise
Taman Bendera Pusaka,Jakarta,Franchise,,Franchise
Taman Bendera Pusaka 2,Jakarta,Permanent,,Permanent
Taman Ismail Marzuki,Jakarta,Permanent,,Permanent
Taman Lapangan Banteng,Jakarta,Permanent,,Permanent
Taman Lego-Lego,Makassar,Franchise,,Franchise
Taman Literasi Jakarta,Jakarta,Permanent,,Permanent
Taman Mini Indonesia Indah,Jakarta,Permanent,,Permanent
Tepian Laut Merak,Jakarta,Permanent,,Permanent
Teras Samarinda,Samarinda,Franchise,,Franchise
The Alana Hotel & Conference Center Sentul City,Bogor,Permanent,,Permanent
The Keranjang Bali,Bali,Permanent,,Permanent
Tip Tap Toe Vacation,Jogja,Permanent,,Permanent
Tipsy Lion,Bali,Permanent,,Permanent
Toko Liman Malioboro,Jogja,Franchise,,Franchise
Tokyo Hub,Jakarta,Permanent,,Permanent
Transjakarta - Halte CSW,Jakarta,Permanent,,Permanent
Transjakarta - Halte Tosari,Jakarta,Permanent,,Permanent
Vacation Hotel Sheraton,Bali,Permanent,,Permanent
Vilo Gelato Citra 8,Jakarta,Permanent,,Permanent
Widi Coffee,Samarinda,Franchise,,Franchise
Wooly,Bogor,Permanent,,Permanent
Yogyakarta International Airport,Jogja,Permanent,,Permanent
Yogyakarta International Airport (Arrival),Jogja,Permanent,,Permanent
Zonablu x Gofit,Jakarta,Permanent,,Permanent
tes,Jakarta,Permanent,,Permanent
test duplicate,Semarang,Permanent,,Permanent
test2,Jakarta,Permanent,,Permanent
